file,label
0.wav,fake
1.wav,fake
2.wav,fake
3.wav,fake
4.wav,real
5.wav,real
6.wav,fake
7.wav,real
8.wav,real
9.wav,real
10.wav,fake
11.wav,real
12.wav,real
13.wav,fake
14.wav,real
15.wav,fake
16.wav,fake
17.wav,fake
18.wav,real
19.wav,fake
20.wav,real
21.wav,fake
22.wav,real
23.wav,real
24.wav,fake
25.wav,fake
26.wav,real
27.wav,real
28.wav,real
29.wav,real
30.wav,real
31.wav,fake
32.wav,fake
33.wav,real
34.wav,fake
35.wav,fake
36.wav,real
37.wav,real
38.wav,real
39.wav,real
40.wav,fake
41.wav,fake
42.wav,fake
43.wav,fake
44.wav,real
45.wav,real
46.wav,real
47.wav,fake
48.wav,real
49.wav,real
50.wav,fake
51.wav,real
52.wav,real
53.wav,real
54.wav,real
55.wav,real
56.wav,real
57.wav,fake
58.wav,real
59.wav,fake
60.wav,fake
61.wav,fake
62.wav,fake
63.wav,fake
64.wav,real
65.wav,fake
66.wav,real
67.wav,real
68.wav,fake
69.wav,fake
70.wav,real
71.wav,real
72.wav,real
73.wav,real
74.wav,real
75.wav,real
76.wav,fake
77.wav,real
78.wav,real
79.wav,fake
80.wav,real
81.wav,fake
82.wav,real
83.wav,real
84.wav,real
85.wav,real
86.wav,real
87.wav,real
88.wav,real
89.wav,real
90.wav,real
91.wav,fake
92.wav,fake
93.wav,real
94.wav,real
95.wav,real
96.wav,real
97.wav,real
98.wav,real
99.wav,real
100.wav,real
101.wav,fake
102.wav,real
103.wav,fake
104.wav,real
105.wav,real
106.wav,real
107.wav,fake
108.wav,real
109.wav,real
110.wav,fake
111.wav,real
112.wav,real
113.wav,real
114.wav,fake
115.wav,real
116.wav,fake
117.wav,fake
118.wav,fake
119.wav,real
120.wav,real
121.wav,real
122.wav,fake
123.wav,real
124.wav,real
125.wav,real
126.wav,fake
127.wav,fake
128.wav,fake
129.wav,real
130.wav,real
131.wav,real
132.wav,fake
133.wav,real
134.wav,real
135.wav,fake
136.wav,fake
137.wav,real
138.wav,fake
139.wav,fake
140.wav,real
141.wav,real
142.wav,real
143.wav,real
144.wav,fake
145.wav,real
146.wav,fake
147.wav,real
148.wav,fake
149.wav,real
150.wav,fake
151.wav,real
152.wav,real
153.wav,fake
154.wav,real
155.wav,fake
156.wav,real
157.wav,real
158.wav,real
159.wav,fake
160.wav,real
161.wav,real
162.wav,real
163.wav,fake
164.wav,real
165.wav,fake
166.wav,real
167.wav,real
168.wav,real
169.wav,real
170.wav,fake
171.wav,real
172.wav,fake
173.wav,real
